caseid,v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d104,d106,d107,d108,d113,d121,d129,ipv,vio
     0032018 02,4,9,1,2,1,4,4,1,2,1,37,1,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,20,2,1,2,91,1,32,35,1,2,2,2,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0033011 02,7,9,1,1,2,3,6,0,2,1,52,1,2,2,5,4,0,4, ,0,0,0,0,0,1,1,1,0,28,4,1,2,35,1,53,52,1,1,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,2,3,NaN
     0033038 02,2,9,1,2,2,3,3,1,2,1,28,2,2,2,5,1,0,1, ,3,0,0,0,0,1,1,1,0,19,2,2,2,53,0,0,28,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0033051 02,3,9,1,2,2,6,2,0,2,1,34,1,1,2,4,1,0,1, ,0,0,0,0,0,1,1,1,0,23,3,2,2,88,1,91,34,4,1,1,4,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,2,NaN
     0034062 02,2,9,1,3,2,9,2,0,2,1,25,1,2,2,5,0,0,0, ,0,0,0,0,0,1,1,1,0,20,2,1,3,13,0,91,25,4,2,2,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,2,NaN
     0035057 02,2,9,1,2,2,3,3,1,2,1,25,1,2,1,3,1,0,1, ,5,0,0,0,0,1,1,1,0,21,3,1,3,74,1,74,25,4,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0035077 02,3,9,1,2,1,3,2,0,2,1,32,0,0,0,4,1,1,1,1,0,0,0,0,0,1,1,1,0,23,3,1,1,53,0,0,32,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,NaN
     0036018 02,3,9,1,2,2,7,3,1,2,1,35,0,2,2,4,2,0,1, ,3,0,0,0,0,1,1,1,0,21,4,3,2,29,1,91,35,4,1,2,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,NaN
     0036057 02,3,9,1,3,2,5,3,1,2,1,33,1,2,2,4,1,0,1, ,3,0,0,0,0,1,1,1,0,24,2,3,3,91,1,77,33,1,4,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,NaN
     0036095 02,5,9,1,1,2,3,4,1,2,1,40,0,1,2,4,3,0,3, ,11,0,0,0,0,1,1,1,1,20,2,2,2,91,1,91,40,1,1,4,4,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,2,2,NaN
     0036114 02,2,9,1,1,1,5,2,0,2,1,29,0,2,1,4,0,1,0,1,0,0,0,0,0,1,1,1,0,21,3,8,2,71,1,91,29,4,1,4,4,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NaN
     0037080 02,4,9,1,3,2,4,5,2,2,1,38,0,2,2,5,3,0,3, ,5,0,0,0,0,1,1,1,0,17,2,1,3,31,1,14,38,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0038016 02,3,9,1,3,2,4,3,1,2,1,30,1,2,2,5,1,0,1, ,8,0,0,0,0,1,1,1,0,23,3,1,3,28,1,52,30,4,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0038094 04,3,9,1,1,2,3,4,1,12,1,33,1,2,2,5,4,0,4, ,0,0,0,0,0,1,5, , ,13,2, ,2,91,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,1,1,1,1,1,1,1,1,0,1,4,NaN
     0039021 02,1,9,1,2,2,7,2,0,2,1,21,0,2,2,5,0,0,0, ,0,0,0,0,0,1,1,1,0,16,4,1,1,51,1,91,21,4,2,4,2,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,NaN
     0039132 02,3,9,1,2,2,4,4,0,2,1,30,0,2,2,4,2,0,2, ,0,0,0,0,0,1,2,1,1,17,3,2,1,91,1,91,29,2,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,2,1,NaN
     0040025 02,4,9,1,2,2,4,3,1,2,1,35,1,2,2,5,3,0,1, ,11,0,0,0,0,1,1,1,0,29,2,2,3,91,0,0,35,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0040039 03,2,9,1,1,1,7,5,2,2,1,36,1,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,19,2,1,2,72,1,53,36,4,4,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0040052 01,5,9,1,1,1,3,4,0,1,2,36,0,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,14,3,2,1,53,1,91,40,2,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,NaN
     0040066 01,3,9,1,2,2,4,5,1,1,2,27,0,2,2,5,2,0,2, ,11,0,0,0,0,1,1,2,0,18,2,1,2,72,1,91,31,4,2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,NaN
     0041023 02,4,9,1,1,1,3,5,2,2,1,34,1,2,2,5,3,0,3, ,1,0,0,0,0,1,1,1,0,25,2,1,2,71,0,0,34,1,1,4,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,NaN
