v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v169a,v171a,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v745c,v745d,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d113,d121,d129,s711a,s711b,ipv
5,7,2,0,3,7,7,2,2,1,40,0,0,0,0,0,4,5,0,5,,0,0,0,0,0,1,1,1,0,18,8,1,1,61,0,0,37,4,4,4,4,1,1,1,1,1,0,0,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,7,2,1,3,7,6,2,4,1,80,0,0,0,0,0,2,2,0,2,,3,0,0,0,0,1,1,1,0,16,5,2,1,61,0,0,29,4,4,1,4,1,1,1,1,1,0,0,,,0,0,0,0,0,1,0,1,0,0,0,1,1,0
6,7,2,0,3,7,8,2,2,1,65,0,0,0,0,0,4,8,0,6,,3,0,0,0,0,1,1,1,0,18,7,2,0,63,0,0,65,2,2,2,2,1,1,1,1,1,0,0,,,1,1,0,1,0,0,0,1,0,0,1,1,0,2
3,7,2,1,2,7,4,1,2,1,30,0,1,0,1,0,2,2,1,2,2,0,0,0,0,0,1,1,1,0,18,4,2,0,52,1,52,30,4,4,4,4,0,0,0,0,0,2,2,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,3
3,7,2,0,3,7,7,2,2,1,43,0,0,0,0,0,4,5,0,5,,3,0,0,0,0,1,1,1,0,13,95,2,0,61,0,0,43,1,4,1,4,1,1,1,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,7,2,0,3,7,8,1,2,1,41,0,0,0,0,0,5,7,0,7,,3,0,0,0,0,1,1,1,0,14,7,8,1,61,0,0,40,4,4,2,4,1,1,1,1,1,2,2,1,0,0,0,0,1,1,0,0,1,0,1,2,2,0,3
3,7,2,1,1,7,5,1,2,1,37,0,2,2,0,0,4,6,0,3,,0,0,0,0,0,1,1,1,0,14,4,2,1,52,1,52,30,4,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,2,3,1,1
3,7,2,1,2,7,4,0,2,1,30,0,0,0,1,0,5,3,0,2,,3,0,0,0,0,1,1,1,0,14,4,1,1,52,1,52,30,4,4,4,2,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,1,2,1,1,0
6,8,2,0,3,16,9,3,1,2,40,0,0,0,0,0,1,7,0,7,,0,0,0,1,0,0,5,,,14,8,,,,1,93,,,,,,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,1,0,0,0,2,2,0,1
5,8,2,1,5,16,8,1,1,2,30,0,0,0,0,0,2,7,0,7,,0,0,0,0,0,1,1,1,1,14,7,2,2,93,1,93,40,2,2,2,2,0,0,0,0,0,2,0,0,,0,0,0,1,0,0,0,0,0,0,1,1,1,2
